filename,base,num,span,target,category
AA02_01.wav,AA02,01,0~5,1,hiyodori
AA02_02.wav,AA02,02,5~10,1,hiyodori
AA02_03.wav,AA02,03,10~15,1,hiyodori
AA02_04.wav,AA02,04,15~20,1,hiyodori
AA02_05.wav,AA02,05,20~25,1,hiyodori
AA02_06.wav,AA02,06,25~30,1,hiyodori
AA02_07.wav,AA02,07,30~35,1,hiyodori
AA02_08.wav,AA02,08,35~40,5,shijukara
AA02_09.wav,AA02,09,40~45,1,hiyodori
AA02_10.wav,AA02,10,45~50,1,hiyodori
AA02_100.wav,AA02,100,495~500,1,hiyodori
AA02_11.wav,AA02,11,50~55,1,hiyodori
AA02_12.wav,AA02,12,55~60,1,hiyodori
AA02_13.wav,AA02,13,60~65,1,hiyodori
AA02_14.wav,AA02,14,65~70,5,shijukara
AA02_15.wav,AA02,15,70~75,1,hiyodori
AA02_16.wav,AA02,16,75~80,1,hiyodori
AA02_17.wav,AA02,17,80~85,1,hiyodori
AA02_18.wav,AA02,18,85~90,1,hiyodori
AA02_19.wav,AA02,19,90~95,1,hiyodori
AA02_20.wav,AA02,20,95~100,1,hiyodori
AA02_21.wav,AA02,21,100~105,1,hiyodori
AA02_22.wav,AA02,22,105~110,1,hiyodori
AA02_23.wav,AA02,23,110~115,1,hiyodori
AA02_24.wav,AA02,24,115~120,1,hiyodori
AA02_25.wav,AA02,25,120~125,1,hiyodori
AA02_26.wav,AA02,26,125~130,1,hiyodori
AA02_27.wav,AA02,27,130~135,1,hiyodori
AA02_28.wav,AA02,28,135~140,1,hiyodori
AA02_29.wav,AA02,29,140~145,1,hiyodori
AA02_30.wav,AA02,30,145~150,1,hiyodori
AA02_31.wav,AA02,31,150~155,1,hiyodori
AA02_32.wav,AA02,32,155~160,1,hiyodori
AA02_33.wav,AA02,33,160~165,1,hiyodori
AA02_34.wav,AA02,34,165~170,5,shijukara
AA02_35.wav,AA02,35,170~175,1,hiyodori
AA02_36.wav,AA02,36,175~180,1,hiyodori
AA02_37.wav,AA02,37,180~185,1,hiyodori
AA02_38.wav,AA02,38,185~190,1,hiyodori
AA02_39.wav,AA02,39,190~195,1,hiyodori
AA02_40.wav,AA02,40,195~200,1,hiyodori
AA02_41.wav,AA02,41,200~205,1,hiyodori
AA02_42.wav,AA02,42,205~210,1,hiyodori
AA02_43.wav,AA02,43,210~215,1,hiyodori
AA02_44.wav,AA02,44,215~220,1,hiyodori
AA02_45.wav,AA02,45,220~225,1,hiyodori
AA02_46.wav,AA02,46,225~230,1,hiyodori
AA02_47.wav,AA02,47,230~235,1,hiyodori
AA02_48.wav,AA02,48,235~240,1,hiyodori
AA02_49.wav,AA02,49,240~245,1,hiyodori
AA02_50.wav,AA02,50,245~250,1,hiyodori
AA02_51.wav,AA02,51,250~255,1,hiyodori
AA02_52.wav,AA02,52,255~260,1,hiyodori
AA02_53.wav,AA02,53,260~265,1,hiyodori
AA02_54.wav,AA02,54,265~270,1,hiyodori
AA02_55.wav,AA02,55,270~275,1,hiyodori
AA02_56.wav,AA02,56,275~280,1,hiyodori
AA02_57.wav,AA02,57,280~285,1,hiyodori
AA02_58.wav,AA02,58,285~290,1,hiyodori
AA02_59.wav,AA02,59,290~295,1,hiyodori
AA02_60.wav,AA02,60,295~300,1,hiyodori
AA02_61.wav,AA02,61,300~305,1,hiyodori
AA02_62.wav,AA02,62,305~310,1,hiyodori
AA02_63.wav,AA02,63,310~315,1,hiyodori
AA02_64.wav,AA02,64,315~320,1,hiyodori
AA02_65.wav,AA02,65,320~325,1,hiyodori
AA02_66.wav,AA02,66,325~330,1,hiyodori
AA02_67.wav,AA02,67,330~335,1,hiyodori
AA02_68.wav,AA02,68,335~340,1,hiyodori
AA02_69.wav,AA02,69,340~345,1,hiyodori
AA02_70.wav,AA02,70,345~350,1,hiyodori
AA02_71.wav,AA02,71,350~355,1,hiyodori
AA02_72.wav,AA02,72,355~360,1,hiyodori
AA02_73.wav,AA02,73,360~365,1,hiyodori
AA02_74.wav,AA02,74,365~370,1,hiyodori
AA02_75.wav,AA02,75,370~375,1,hiyodori
AA02_76.wav,AA02,76,375~380,1,hiyodori
AA02_77.wav,AA02,77,380~385,1,hiyodori
AA02_78.wav,AA02,78,385~390,1,hiyodori
AA02_79.wav,AA02,79,390~395,1,hiyodori
AA02_80.wav,AA02,80,395~400,1,hiyodori
AA02_81.wav,AA02,81,400~405,1,hiyodori
AA02_82.wav,AA02,82,405~410,1,hiyodori
AA02_83.wav,AA02,83,410~415,1,hiyodori
AA02_84.wav,AA02,84,415~420,1,hiyodori
AA02_85.wav,AA02,85,420~425,1,hiyodori
AA02_86.wav,AA02,86,425~430,1,hiyodori
AA02_87.wav,AA02,87,430~435,1,hiyodori
AA02_88.wav,AA02,88,435~440,1,hiyodori
AA02_89.wav,AA02,89,440~445,1,hiyodori
AA02_90.wav,AA02,90,445~450,1,hiyodori
AA02_91.wav,AA02,91,450~455,1,hiyodori
AA02_92.wav,AA02,92,455~460,1,hiyodori
AA02_93.wav,AA02,93,460~465,1,hiyodori
AA02_94.wav,AA02,94,465~470,1,hiyodori
AA02_95.wav,AA02,95,470~475,1,hiyodori
AA02_96.wav,AA02,96,475~480,1,hiyodori
AA02_97.wav,AA02,97,480~485,1,hiyodori
AA02_98.wav,AA02,98,485~490,1,hiyodori
AA02_99.wav,AA02,99,490~495,1,hiyodori
